Word,Meaning,Sentence,Pinyin,Translation
吃饭 (chī fàn),have meal,我 们 一 起 吃 饭 吧。,Wǒmen yìqǐ chī fàn ba.,Let's have a meal together.
出 (chū),out,请 你 出 去。,Qǐng nǐ chū qù.,Please go out.
出来 (chū lái),come out,你 看 他 出 来 了 吗？,Nǐ kàn tā chū lái le ma?,Did you see him come out?
出去 (chū qù),go out,我 们 一 起 出 去 玩儿 吧。,Wǒmen yìqǐ chū qù wánr ba.,Let's go out and play together.
穿 (chuān),wear,她 穿 了 新 衣 服。,Tā chuān le xīn yīfu.,She wore new clothes.
床 (chuáng),bed,这 张 床 很 大。,Zhè zhāng chuáng hěn dà.,This bed is very big.
次 (cì),"(measure word for times, frequency)",这 是 我 第 一 次 来 北 京。,Zhè shì wǒ dì yī cì lái Běijīng.,This is my first time coming to Beijing.
从 (cóng),from,他 从 这 儿 走 了。,Tā cóng zhèr zǒu le.,He walked away from here.
错 (cuò),wrong,你 说 的 不 对， 你 说 错 了。,"Nǐ shuō de bú duì, nǐ shuō cuò le.","What you said is wrong, you were mistaken."
打 (dǎ),"hit, take",他 打 球 打 得 很 好。,Tā dǎ qiú dǎ de hěn hǎo.,He plays ball very well.
打车 (dǎ chē),take a taxi,我 们 一 起 去 打 车 吧。,Wǒmen yìqǐ qù dǎ chē ba.,Let's go take a taxi together.
打电话 (dǎ diàn huà),make a phone call,爸 爸 在 打 电 话。,Bàba zài dǎ diàn huà.,Dad is making a phone call.
打开 (dǎ kāi),"turn on, open",请 打 开 门。,Qǐng dǎ kāi mén.,Please open the door.
打球 (dǎ qiú),play ball,我 们 下 午 去 打 球 吧。,Wǒmen xiàwǔ qù dǎ qiú ba.,Let's go play ball this afternoon.
大 (dà),"large, big",这 个 房 子 真 大。,Zhè ge fáng zi zhēn dà.,This house is really big.
大学 (dà xué),university,他 是 大 学 学 生。,Tā shì dà xué xuésheng.,He is a university student.
大学生 (dà xué shēng),university student,那 些 都 是 大 学 生。,Nà xiē dōu shì dà xué shēng.,Those are all university students.
到 (dào),reach,你 几 点 到 学 校？,Nǐ jǐ diǎn dào xuéxiào?,What time do you arrive at school?
得到 (dé dào),get,我 得 到 了 一 个 新 包。,Wǒ dé dào le yī ge xīn bāo.,I got a new package/bag.
地 (de),(auxiliary word),他 高 兴 地 跑 过 来。,Tā gāoxìng de pǎo guò lái.,He ran over happily.
的 (de),(auxiliary word),这 是 我 的 手 机。,Zhè shì wǒ de shǒujī.,This is my mobile phone.
等 (děng),wait,请 你 等 一 下 儿 吧。,Qǐng nǐ děng yí xiàr ba.,Please wait for a little while.
地 (dì),ground,地 上 有 水 果。,Dì shàng yǒu shuǐguǒ.,There are fruits on the ground.
地点 (dìdiǎn),location,会 议 的 地 点 在 哪 儿？,Huì yì de dìdiǎn zài nǎr?,Where is the location of the meeting?
地方 (dìfang),"local, place",这 个 地 方 很 好 玩儿。,Zhè ge dìfang hěn hǎo wánr.,This place is very fun.
地上 (dì shàng),on the ground,请 看 地 上 有 什 么。,Qǐng kàn dì shàng yǒu shénme.,Please see what is on the ground.
地图 (dìtú),map,我 们 需 要 看 地 图。,Wǒmen xūyào kàn dìtú.,We need to look at the map.
弟弟 (dì di ｜ dì),younger brother,我 的 弟 弟 是 小 学 生。,Wǒ de dìdi shì xiǎo xué shēng.,My younger brother is an elementary school student.
第 (dì),auxiliary word for ordinal numbers,我 是 第 一 个 来 的 人。,Wǒ shì dì yī ge lái de rén.,I am the first person to come.
点 (diǎn),"spot, hour",现 在 是 八 点 吗？,Xiànzài shì bā diǎn ma?,Is it eight o'clock now?
电 (diàn),electricity,这 里 没 有 电。,Zhè lǐ méi yǒu diàn.,There is no electricity here.
电话 (diàn huà),phone,这 是 你 的 电 话 吗？,Zhè shì nǐ de diàn huà ma?,Is this your phone?
电脑 (diànnǎo),computer,我 想 买 新 电 脑。,Wǒ xiǎng mǎi xīn diànnǎo.,I want to buy a new computer.
电视 (diànshì),television,爸 爸 在 看 电 视。,Bàba zài kàn diànshì.,Dad is watching television.
电视机 (diàn shì jī),television (set),这 个 电 视 机 很 大。,Zhè ge diàn shì jī hěn dà.,This television set is very big.
电影 (diànyǐng),film,我 喜 欢 看 电 影。,Wǒ xǐhuan kàn diànyǐng.,I like watching films.
电影院 (diàn yǐng yuàn),cinema; movie theater,电 影 院 在 哪 儿？,Diàn yǐng yuàn zài nǎr?,Where is the cinema?
东 (dōng),east,学 校 在 东 边。,Xuéxiào zài dōng biān.,The school is on the east side.
东边 (dōng biān),east side,我 们 去 东 边 的 房 子。,Wǒmen qù dōng biān de fáng zi.,We are going to the house on the east side.
东西 (dōngxi),thing,这 是 什 么 东 西？,Zhè shì shénme dōngxi?,What thing is this?
动 (dòng),move,这 个 电 视 机 不 能 动。,Zhè ge diàn shì jī bù néng dòng.,This television set cannot move.
动作 (dòngzuò),action,这 个 动 作 很 漂 亮。,Zhè ge dòngzuò hěn piàoliang.,This action is very beautiful.
都 (dōu),all,我 们 都 是 学 生。,Wǒmen dōu shì xuésheng.,We are all students.
读 (dú),read,你 读 汉 字 读 得 很 好。,Nǐ dú Hàn zì dú de hěn hǎo.,You read Chinese characters very well.
读书 (dú shū),reading; study,我 的 爱 好 是 读 书。,Wǒ de àihào shì dú shū.,My hobby is reading/studying.
对 (duì),right,你 的 回 答 很 对。,Nǐ de huídá hěn duì.,Your answer is very right.
对不起 (duìbuqǐ),I’m sorry,"""对不起"" 是 一 个 词。","""Duìbuqǐ"" shì yī ge cí.","""I'm sorry"" is a word."
多 (duō),many; much; more,这 里 有 很 多 书。,Zhè lǐ yǒu hěn duō shū.,There are many books here.
多少 (duōshao),how much,这 件 衣 服 多 少 钱？,Zhè jiàn yīfu duōshao qián?,How much money is this piece of clothing?
饿 (è),hungry,我 很 饿， 想 吃 饭。,"Wǒ hěn è, xiǎng chī fàn.","I am very hungry, I want to eat a meal."
儿子 (érzi),son,他 的 儿 子 是 男 孩 儿。,Tā de érzi shì nán háir.,His son is a boy.
二 (èr),two,这 个 房 子 有 二 层 楼。,Zhè ge fáng zi yǒu èr céng lóu.,This building has two floors.
饭 (fàn),rice; meal,我 们 吃 午 饭 吧。,Wǒmen chī wǔ fàn ba.,Let's eat lunch.
饭店 (fàndiàn),restaurant,学 校 旁 边 有 个 饭 店。,Xuéxiào pángbiān yǒu ge fàndiàn.,There is a restaurant next to the school.
房间 (fángjiān),room,这 个 房 间 很 干 净。,Zhè ge fángjiān hěn gānjìng.,This room is very clean.
房子 (fáng zi),house; building,这 个 房 子 有 两 个 房 间。,Zhè ge fáng zi yǒu liǎng ge fángjiān.,This house has two rooms.
放 (fàng),discharge,他 把 书 放 在 桌 子 上。,Tā bǎ shū fàng zài zhuōzi shàng.,He put the book on the table.
放假 (fàng jià),holiday; have a holiday,我 们 今 年 不 放 假。,Wǒmen jīn nián bù fàng jià.,We are not having a holiday this year.
放学 (fàng xué),off school,他 们 下 午 四 点 放 学。,Tāmen xiàwǔ sì diǎn fàng xué.,They get off school at four o'clock in the afternoon.
飞 (fēi),fly,小 鸟 在 天 上 飞。,Xiǎo niǎo zài tiān shàng fēi.,The little bird is flying in the sky.
飞机 (fēijī),aircraft,我 们 坐 飞 机 去 国 外。,Wǒmen zuò fēijī qù guó wài.,We take an aircraft to go abroad.
非常 (fēicháng),very,今 天 我 非 常 高 兴。,Jīntiān wǒ fēicháng gāoxìng.,I am very happy today.
分 (fēn),"minute; point; part; (measure word)",现 在 是 八 点 五 分。,Xiànzài shì bā diǎn wǔ fēn.,It is now five minutes past eight.
风 (fēng),wind,今 天 风 很 大。,Jīntiān fēng hěn dà.,The wind is very strong today.
干 (gān),dry,这 件 衣 服 还 不 干。,Zhè jiàn yīfu hái bù gān.,This piece of clothing is not dry yet.
干净 (gānjìng),clean,这 个 房 间 很 干 净。,Zhè ge fángjiān hěn gānjìng.,This room is very clean.
干 (gàn),do,你 想 干 什 么？,Nǐ xiǎng gàn shénme?,What do you want to do?
干什么 (gàn shén me),what to do,你 下 午 想 干 什 么？,Nǐ xiàwǔ xiǎng gàn shén me?,What do you want to do this afternoon?
高 (gāo),high,这 个 楼 很 高。,Zhè ge lóu hěn gāo.,This building is very high.
高兴 (gāoxìng),happy,我 们 都 很 高 兴。,Wǒmen dōu hěn gāoxìng.,We are all very happy.
告诉 (gàosu),tell,请 你 告 诉 我 们 吧。,Qǐng nǐ gàosu wǒmen ba.,Please tell us.
哥哥 (gē ge ｜ gē),elder brother,我 的 哥 哥 很 高。,Wǒ de gēge hěn gāo.,My elder brother is very tall.
歌 (gē),song,他 爱 唱 歌。,Tā ài chàng gē.,He loves to sing songs.
个 (gè),individual (measure word),我 有 一 个 朋 友。,Wǒ yǒu yī ge péngyou.,I have one friend.
给 (gěi),give,你 想 给 他 什 么 东 西？,Nǐ xiǎng gěi tā shénme dōngxi?,What thing do you want to give him?
跟 (gēn),with,我 想 跟 你 一 起 去 。,Wǒ xiǎng gēn nǐ yìqǐ qù.,I want to go with you.
工人 (gōngrén),worker,我 的 爸 爸 是 工 人。,Wǒ de bàba shì gōngrén.,My dad is a worker.
工作 (gōngzuò),work,你 的 工 作 忙 吗？,Nǐ de gōngzuò máng ma?,Is your work busy?
关 (guān),shut; close; turn off,请 你 关 电 视 吧。,Qǐng nǐ guān diànshì ba.,Please turn off the TV.
关上 (guān shàng),close; shut to; turn off,他 关 上 了 灯。,Tā guān shàng le dēng.,He turned off the light.
贵 (guì),noble; expensive,这 件 衣 服 很 贵。,Zhè jiàn yīfu hěn guì.,This piece of clothing is very expensive.
国 (guó),country; state; nation,他 是 外 国 人。,Tā shì wài guó rén.,He is a foreigner.
国家 (guójiā),country,你 爱 你 的 国 家 吗？,Nǐ ài nǐ de guójiā ma?,Do you love your country?
国外 (guó wài),foreign; oversea; abroad,他 在 国 外 工 作 。,Tā zài guó wài gōngzuò.,He works abroad.
过 (guò),pass,你 看 他 走 过 来 了。,Nǐ kàn tā zǒu guò lái le.,"You see, he walked over."
还 (hái),also; still; yet,我 还 有 一 些 东 西 要 买。,Wǒ hái yǒu yì xiē dōngxi yào mǎi.,I still have some things to buy.
还是 (háishi),still,他 还 是 不 知 道 答 案。,Tā hái shi bù zhīdào dá'àn.,He still doesn't know the answer.
还有 (hái yǒu),also; in addition; besides,除 了 你 ， 还 有 谁 来 了？,"Chúle nǐ, hái yǒu shéi lái le?","Besides you, who else came?"
孩子 (háizi),children,这 些 孩 子 都 是 小 学 生。,Zhè xiē háizi dōu shì xiǎo xué shēng.,These children are all elementary school students.
汉语 (hànyǔ),Chinese,我 喜 欢 学 习 汉 语。,Wǒ xǐhuan xuéxí Hànyǔ.,I like studying Chinese.
汉字 (hàn zì),Chinese character,汉 字 很 难 写。,Hàn zì hěn nán xiě.,Chinese characters are very difficult to write.
好 (hǎo),good,你 的 身 体 好 吗？,Nǐ de shēntǐ hǎo ma?,Is your health good?
好吃 (hǎochī),yummy,这 个 包 子 真 好 吃。,Zhè ge bāo zi zhēn hǎochī.,This bun is truly yummy.
好看 (hǎo kàn),good looking,这 件 衣 服 很 好 看。,Zhè jiàn yīfu hěn hǎo kàn.,This piece of clothing is very good looking.
好听 (hǎo tīng),pleasant to hear,她 唱 歌 唱 得 很 好 听。,Tā chàng gē chàng de hěn hǎo tīng.,She sings very pleasantly to hear.
好玩儿 (hǎo wánr),fun; interesting,那 个 地 方 很 好 玩儿。,Nà ge dìfang hěn hǎo wánr.,That place is very fun.
号 (hào),number/date,今 天 是 几 号？,Jīntiān shì jǐ hào?,What is today's date?
喝 (hē),drink,你 想 喝 茶 还 是 牛 奶？,Nǐ xiǎng hē chá háishi niúnǎi?,Do you want to drink tea or milk?
和 (hé),and,我 和 你 是 朋 友。,Wǒ hé nǐ shì péngyou.,You and I are friends.
很 (hěn),very,妈 妈 身 体 很 好。,Māma shēntǐ hěn hǎo.,Mom's health is very good.
后 (hòu),back; behind; after; later,我 们 后 天 去 。,Wǒmen hòu tiān qù.,We will go the day after tomorrow.
后边 (hòu biān),behind; back,车 站 在 学 校 后 边。,Chē zhàn zài xuéxiào hòu biān.,The station is behind the school.
后天 (hòu tiān),day after tomorrow,后 天 是 星 期 几？,Hòu tiān shì xīngqī jǐ?,What day of the week is the day after tomorrow?
花 (huā),flower,这 里 有 很 多 花。,Zhè lǐ yǒu hěn duō huā.,There are many flowers here.
话 (huà),word; words,请 你 说 汉 语 话。,Qǐng nǐ shuō Hànyǔ huà.,Please speak Chinese words.
坏 (huài),bad,那 件 衣 服 是 坏 的 。,Nà jiàn yīfu shì huài de.,That piece of clothing is bad.
还 (huán),return; pay back,你 什 么 时 候 还 书？,Nǐ shénme shíhou huán shū?,When are you returning the book?
回 (huí),go back; return,我 们 一 起 回 家 吧。,Wǒmen yìqǐ huí jiā ba.,Let's go back home together.
回答 (huídá),answer,请 你 回 答 我 的 问 题。,Qǐng nǐ huídá wǒ de wèn tí.,Please answer my question.
回到 (huí dào),back to,他 回 到 北 京 了。,Tā huí dào Běijīng le.,He returned to Beijing.
回家 (huí jiā),go home; return home,你 今 天 几 点 回 家？,Nǐ jīntiān jǐ diǎn huí jiā?,What time are you returning home today?
回来 (huí lái),come back; return,我 看 到 他 回 来 了。,Wǒ kàn dào tā huí lái le.,I saw him come back.
回去 (huí qù),go back,你 现 在 想 回 去 吗？,Nǐ xiànzài xiǎng huí qù ma?,Do you want to go back now?
会 (huì),can; be able to,我 会 说 汉 语。,Wǒ huì shuō Hànyǔ.,I can speak Chinese.
火车 (huǒ chē),train,我 们 坐 火 车 去 上 海。,Wǒmen zuò huǒ chē qù Shànghǎi.,We take a train to go to Shanghai.
机场 (jīchǎng),airport,我 们 在 机 场 见 面。,Wǒmen zài jīchǎng jiànmiàn.,We will meet at the airport.
机票 (jī piào),air ticket,机 票 很 贵。,Jī piào hěn guì.,The air ticket is very expensive.
鸡蛋 (jīdàn),egg,我 想 吃 一 个 鸡 蛋。,Wǒ xiǎng chī yī ge jīdàn.,I want to eat an egg.
几 (jǐ),"several, how many",你 有 几 个 姐 姐？,Nǐ yǒu jǐ ge jiějie?,How many elder sisters do you have?
记 (jì),remember,你 记 得 这 件 事 吗？,Nǐ jìdé zhè jiàn shì ma?,Do you remember this thing/matter?
记得 (jìdé),remember,我 不 记 得 他 的 名 字。,Wǒ bù jìdé tā de míngzi.,I don't remember his name.
记住 (jì zhù),remember; keep in mind,请 你 记 住 我 的 话。,Qǐng nǐ jì zhù wǒ de huà.,Please remember my words.
家 (jiā),home,我 们 的 家 在 北 京。,Wǒmen de jiā zài Běijīng.,Our home is in Beijing.
家里 (jiā lǐ),in the home,爸 爸 妈 妈 都 在 家 里。,Bàba māma dōu zài jiā lǐ.,Dad and Mom are both at home.
家人 (jiā rén),family,我 很 爱 我 的 家 人。,Wǒ hěn ài wǒ de jiā rén.,I love my family very much.
间 (jiān),measure word for rooms,这 个 房 子 有 三 间 房 间。,Zhè ge fáng zi yǒu sān jiān fángjiān.,This house has three rooms.
见 (jiàn),see; meet,明 天 见 吧。,Míngtiān jiàn ba.,See you tomorrow.
见面 (jiànmiàn),meet,我 想 和 朋 友 见 面。,Wǒ xiǎng hé péngyou jiànmiàn.,I want to meet with a friend.
教 (jiāo),teach,老 师 教 我 们 汉 语。,Lǎoshī jiāo wǒmen Hànyǔ.,The teacher teaches us Chinese.
叫 (jiào),call; be called,你 叫 什 么 名 字？,Nǐ jiào shénme míngzi?,What is your name?
教学楼 (jiào xué lóu),teaching building,教 学 楼 很 高 。,Jiào xué lóu hěn gāo.,The teaching building is very high.
姐姐 (jiě jie ｜ jiě),elder sister,我 姐 姐 在 大 学 学 习。,Wǒ jiějie zài dà xué xuéxí.,My elder sister studies at university.
介绍 (jièshào),introduce,请 你 介 绍 一 下 儿 吧。,Qǐng nǐ jièshào yí xiàr ba.,Please introduce a little bit.
今年 (jīn nián),this year,今 年 是 二 零 二 五 年。,Jīn nián shì èr líng èr wǔ nián.,This year is 2025.
今天 (jīntiān),today,今 天 天 气 很 好。,Jīntiān tiānqì hěn hǎo.,The weather today is very good.
进 (jìn),enter,请 你 进 来 坐。,Qǐng nǐ jìn lái zuò.,Please come in and sit.
进来 (jìn lái),come in,他 刚 才 进 来 了。,Tā gāngcái jìn lái le.,He just came in.
进去 (jìn qù),go in,我 们 不 能 进 去。,Wǒmen bù néng jìn qù.,We cannot go in.
近 (jìn),near,我 们 家 很 近。,Wǒmen jiā hěn jìn.,Our home is very near.
九 (jiǔ),nine,现 在 是 九 点 了。,Xiànzài shì jiǔ diǎn le.,It is nine o'clock now.
就 (jiù),then; right away,我 一 会 儿 就 来。,Wǒ yī huìr jiù lái.,I will come right away in a moment.
觉得 (juéde),feel; think,你 觉 得 这 件 衣 服 怎 么 样？,Nǐ juéde zhè jiàn yīfu zěnmeyàng?,What do you think about this piece of clothing?
开 (kāi),open; drive,请 你 开 门。,Qǐng nǐ kāi mén.,Please open the door.
开始 (kāishǐ),start; begin,我 们 从 现 在 开 始 。,Wǒmen cóng xiànzài kāishǐ.,We start from now.
开学 (kāi xué),start school; term starts,我 们 星 期 一 开 学。,Wǒmen xīngqī yī kāi xué.,Our school starts on Monday.
看 (kàn),look; see,你 看 天 上 有 飞 机。,Nǐ kàn tiān shàng yǒu fēijī.,"Look, there is an airplane in the sky."
看到 (kàn dào),see; catch sight of,你 看 到 我 的 书 了 吗？,Nǐ kàn dào wǒ de shū le ma?,Did you see my book?
看见 (kàn jiàn),see; catch sight of,他 看 见 了 你 的 朋 友 。,Tā kàn jiàn le nǐ de péngyou.,He saw your friend.
考试 (kǎo shì),test; exam,明 天 我 们 有 考 试。,Míngtiān wǒmen yǒu kǎo shì.,We have an exam tomorrow.
课 (kè),lesson,我 喜 欢 汉 语 课。,Wǒ xǐhuan Hànyǔ kè.,I like Chinese class.
课本 (kè běn),textbook,这 是 新 课 本 吗？,Zhè shì xīn kè běn ma?,Is this a new textbook?
课文 (kè wén),text of a lesson,请 你 读 这 个 课 文。,Qǐng nǐ dú zhè ge kè wén.,Please read this lesson text.
口 (kǒu),mouth,她 的 口 很 小。,Tā de kǒu hěn xiǎo.,Her mouth is very small.
块 (kuài),piece; dollar,这 个 苹 果 三 块 钱。,Zhè ge píng guǒ sān kuài qián.,This apple is three dollars.
快 (kuài),fast; quickly,请 你 快 点 儿 来 吧。,Qǐng nǐ kuài diǎnr lái ba.,Please come quickly.
来 (lái),come,你 是 怎 么 来 的？,Nǐ shì zěnme lái de?,How did you come?
老 (lǎo),old,他 是 一 个 老 人。,Tā shì yī ge lǎo rén.,He is an old person.
老师 (lǎo shī),teacher,老 师 在 教 学 楼 里。,Lǎo shī zài jiào xué lóu lǐ.,The teacher is inside the teaching building.
了 (le),(particle),我 回 家 了。,Wǒ huí jiā le.,I went back home.
累 (lèi),tired,我 走 了 半 天， 很 累 了。,"Wǒ zǒu le bàn tiān, hěn lèi le.","I walked for half a day, (I'm) very tired."
冷 (lěng),cold,今 天 很 冷， 你 穿 衣 服 吧。,"Jīntiān hěn lěng, nǐ chuān yīfu ba.","It is very cold today, put on your clothes."
里 (lǐ),in,电 脑 在 包 里。,Diànnǎo zài bāo lǐ.,The computer is in the bag.
里边 (lǐ biān),inside,房 子 里 边 很 干 净。,Fáng zi lǐ biān hěn gānjìng.,The inside of the house is very clean.
两 (liǎng),two (measure word),我 有 两 个 姐 姐。,Wǒ yǒu liǎng ge jiějie.,I have two older sisters.
零 (líng),zero,现 在 是 零 点 五 分。,Xiànzài shì líng diǎn wǔ fēn.,"It is now five minutes past zero (i.e., 00:05)."
楼 (lóu),floor; storied building,这 栋 楼 有 很 多 房 间。,Zhè dòng lóu yǒu hěn duō fángjiān.,This building has many rooms.
路 (lù),road,你 家 走 哪 条 路？,Nǐ jiā zǒu nǎ tiáo lù?,Which road do you take home?
旅馆 (lǚ guǎn),hotel,这 个 旅 馆 很 好 看。,Zhè ge lǚ guǎn hěn hǎo kàn.,This hotel is very good looking.
绿 (lǜ),green,我 们 喜 欢 绿 色 的 东 西。,Wǒmen xǐhuan lǜ sè de dōngxi.,We like green things.
妈 (mā),mom,我 爱 我 的 妈 妈。,Wǒ ài wǒ de māma.,I love my mom.
妈妈 (mā ma),mom,妈 妈 说 她 在 家 里。,Mā ma shuō tā zài jiā lǐ.,Mom said she is at home.
马路 (mǎ lù),road; street,马 路 上 有 很 多 车。,Mǎ lù shàng yǒu hěn duō chē.,There are many cars on the road.
吗 (ma),(question particle),你 是 学 生 吗？,Nǐ shì xuésheng ma?,Are you a student?
买 (mǎi),buy,我 想 去 商 店 买 东 西。,Wǒ xiǎng qù shāngdiàn mǎi dōngxi.,I want to go to the store to buy things.
卖 (mài),sell,这 个 店 里 卖 衣 服。,Zhè ge diàn lǐ mài yīfu.,This store sells clothes.
慢 (màn),slow,请 你 慢 点 儿 走。,Qǐng nǐ màn diǎnr zǒu.,Please walk a bit slower.
忙 (máng),busy,老 师 今 天 很 忙 。,Lǎoshī jīntiān hěn máng.,The teacher is very busy today.
毛 (máo),hair; feather; dime,这 件 衣 服 十 块 八 毛 。,Zhè jiàn yīfu shí kuài bā máo.,This piece of clothing is ten dollars and eight dimes (mao).
毛衣 (máo yī),sweater,妈 妈 给 我 买 了 新 毛 衣 。,Māma gěi wǒ mǎi le xīn máo yī.,Mom bought me a new sweater.
每 (měi),every,我 们 每 天 都 去 学 校 。,Wǒmen měi tiān dōu qù xuéxiào.,We go to school every day.
没 (méi),not,我 没 有 钱。,Wǒ méi yǒu qián.,I do not have money.
没关系 (méi guān xi),it doesn't matter,"你 不 用 说 ""对 不 起"", 没关系。","Nǐ bú yòng shuō ""duìbuqǐ"", méi guān xi.","You don't need to say ""sorry"", it doesn't matter."
没（有） (méi (yǒu)),do not have,我 家 没 有 电 视 机 。,Wǒ jiā méi yǒu diàn shì jī.,My home does not have a television set.
门 (mén),door,请 你 关 上 门 。,Qǐng nǐ guān shàng mén.,Please close the door.
门票 (mén piào),entrance ticket,电 影 院 的 门 票 很 贵 。,Diàn yǐng yuàn de mén piào hěn guì.,The cinema entrance ticket is very expensive.
米 (mǐ),rice; meter,这 件 衣 服 是 一 米 五 。,Zhè jiàn yīfu shì yī mǐ wǔ.,This piece of clothing is one meter and fifty centimeters.
面包 (miàn bāo),bread,我 们 吃 早 饭 吃 面 包 。,Wǒmen chī zǎo fàn chī miàn bāo.,We eat bread for breakfast.
面条 (miàn tiáo),noodles,这 个 面 条 很 好 吃 。,Zhè ge miàn tiáo hěn hǎo chī.,These noodles are very yummy.
明白 (míngbai),understand,我 不 明 白 这 个 问 题 。,Wǒ bù míngbai zhè ge wèn tí.,I don't understand this question.
明天 (míng tiān),tomorrow,你 明 天 上 午 去 哪 里？,Nǐ míng tiān shàng wǔ qù nǎ lǐ?,Where are you going tomorrow morning?
名字 (míng zi),name,请 问 您 叫 什 么 名 字 ？,Qǐng wèn nín jiào shénme míng zi?,May I ask what your name is?
